"itemaccountid-comment","ID of the (sub) account which the amount paid for the goods will be credited.<br /><span class=""notice"">If this field is left blank, then the <span style=""font-style: italic;"">Hipay merchant account</span> is used.</span>"
"Live","Live"
"Local means of payment","Local means of payment"
"logourl-comment","If a logo URL was entered, the logo is displayed in the payment dialog.<br/><span class=""notice"">This logo, in GIF, PNG or JPG (JPEG) format must be accessible from the Internet via HTTPS protocol. This logo must not exceed 100x100 pixels in size.</span>"
"Merchant Logo URL","Merchant Logo URL"
"Merchant Site Id","Merchant Site Id"
"merchant-site-id-comment","Id of the selected site.<br/><span class=""notice"">To get a site id register your store website on the selected Hipay account. You can find this option in your Hipay account under the menu item <span style=""font-style: italic;"">Payment buttons</span>.</span>"
"No order for processing found!","No order for processing found!"
"No registration required","No registration required"
"Notification E-Mail Address","Notification E-Mail Address"
"notificationemail-comment","E-Mail used by Hipay to post operation notifications."
"OPERATION","null"
"Optional Settings","Optional Settings"
"Order","Order"
"Order Category","Order Category"
"ordercategory-comment","Select the order category.<br /><span class=""notice"">A list of your categories (based on the selected <span style=""font-style: italic;"">business line</span>and <span style=""font-style: italic;"">category</span> for your site on Hipay).<br />1. Enter your <span style=""font-style: italic;"">Site Id</span><br />2. Click on <span style=""font-style: italic;"">Save Config</span><br />3. The <span style=""font-style: italic;"">Order Category</span> list will be updated.<br />4. Choose a pleasant category and click on <span style=""font-style: italic;"">Save Config</span> again.</span>"
"Over 15 payment types accepted, including local ones","Over 15 payment types accepted, including local ones"
"PAID AMOUNT","PAID AMOUNT"
"Payment from applicable countries","Payment from applicable countries"
"Payment from specific countries","Payment from specific countries"
"Payment has been canceled by customer","Payment has been canceled by customer"
"Please enter 'Merchant Site Id' first and save config!","Please enter 'Merchant Site Id' first and save config!"
"Secure","Secure"
"Secure online payment solution","Secure online payment solution"
"Shipping Account","Shipping Account"
"shippingaccountid-comment","ID of the (sub) account which the shipping costs will be credited.<br /><span class=""notice"">If this field is left blank, then the <span style=""font-style: italic;"">Hipay merchant account</span> is used.</span>"
"Shopping cart","Shopping cart"
"Sort order","Sort order"
"STATUS","STATUS"
"Swedish Crone","Swedish Crone"
"Test","Test"
"The customer has successfully paid via Hipay","The customer has successfully paid via Hipay"
"The customer was redirected to Hipay","The customer was redirected to Hipay"
"This is what you can expect when you pay with hipay:","This is what you can expect when you pay with hipay:"
"TRANSACTION ID","TRANSACTION ID"
"US Dollar","US Dollar"
"You will be redirected to Hipay ...","You will be redirected to Hipay ..."
"You will be redirected to our secure payment page when you complete your order.","You will be redirected to our secure payment page when you complete your order."
"Your order has been canceled because the payment process failed.","Your order has been canceled because the payment process failed."
"Your order has been canceled because you have canceled the payment process.","Your order has been canceled because you have canceled the payment process."
"text_1","A solution available without VAD's contracts"
"text_2","Free installation and no subscription fee"
"text_3","An integrated anti-fraud unit for more safety"
"text_4","Customizable payment pages with responsive design"
"text_5","More than 15 local and international payment solutions"
