"About us","Chi siamo"
"hipay_accountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Cosa dovete fare:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Indicate le vostre informazioni sul conto (id account, password e id sito).</li><li>Selezionate la categoria e l'età.</li><li>Indicate un indirizzo e-mail per le notifiche sui pagamenti.</li></ul>Per maggiori informazioni andare sulla scheda <span style=""font-style: italic;"">Come configurare HiPay</span>."
"hipay_extendedaccountsettings_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Cosa potete fare qui:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Cambiare il tipo di conto su 'test' e lanciare questa estenzione in modo test.</li><li>Inserite il vostro logo nella finestra di dialogo di pagamento.</li> <li>Create diversi conti per distribuire gli importi dei vostri pagamenti.<p>Potete automaticamente frazionare gli importi di pagamento in uno o più dei seguenti importi parziali: prodotto e consegna.<br />In considerazione di questo, dovete creare diversi sottoconti per ogni importo parziale sotto il vostro conto Hipay.</p></li></ul>"
"hipay_general_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Cosa potete fare qui:</span><br /><ul style=""list-style:square outside none; padding-left:15px;""><li>Attivare questo metodo di pagamento</li><li>Selezionare i paesi dove il metodo di pagamento è disponibile</li></ul>"
"hipay_howto_groupcomment","Per usare questa extension dovete creare un'area utente su hipay.com e registrare delle informazioni sul vostro negozio.<br />Dopo aprite la scheda <span style=""font-style: italic;"">Conto Hipay</span> e inserite i dati dell'account necessari. L'estensione è ora configurata completamente.<br />Attivate l'estensione e Hipay come nuovo metodo di pagamento sulla scheda <span style=""font-style: italic;"">Impostazioni Generali dell'Estensione</span>.<br />Ben fatto.<div style=""margin-top:10px;""><a href=""https://www.hipaywallet.com/"" target=""_blank"">Create il vostro user accounr su hipay.com</a>.<br /><br /></div>"
"hipay_support_groupcomment","<span style=""font-weight:bold; padding-bottom:3px; background-color:#D1DEDF;"">Bisogno di aiuto:</span><p>Se avete delle domande sulla vostra estensione, suggerimenti per miglioramenti o pensi di aver trovato un errore, scrivi per cortesia una email a <a href=""mailto:support.wallet@hipay.com"">support.wallet@hipay.com</a>.</p><p>Per qualsiasi altra domanda, es. se hai dei problemi con una delle nostre transazioni, per cortesia utilizza <a href=""https://www.hipaywallet.com/info/contact"" target=""_blank"">modulo contatti</a> su hipay.com</p>"
"How to setup Hipay","Come configurare Hipay"
"Item Account","Conto Articoli"
"itemaccountid-comment","ID del (sub) conto che verrà accreditato dell'importo pagato.<br /><span class=""notice"">Se questo campo non viene completato, allora il <span style=""font-style: italic;"">Hipay conto commerciante</span> viene utilizzato.</span>"
"Live","Live"
"Local means of payment","Strumenti di pagamento locali"
"logourl-comment","Se avete inserito un URL per un logo, il logo verrà esposto nella finestra di dialogo di pagamento.<br/><span class=""notice"">Questo logo, formato GIF, PNG ou JPG (JPEG) deve essere accessibile tramite il protocollo HTTPS. Il formato massimo del logo è 100X100 pixels.</span>"
"Merchant Logo URL","URL logo del commerciante"
"Merchant Site Id","Id Sito commerciante"
"merchant-site-id-comment","ID del sito selezionato.<br/><span class=""notice"">Per ottenere un ID del sito, registrate il vostro negozio sul conto Hipay corrispondente. Potete trovare questa opzione sul vostro conto Hipay sotto le voci del menu <span style=""font-style: italic;"">Bottoni di pagamento</span>.</span>"
"No order for processing found!","Non è stato trovato l'ordine per l'elaborazione!"
"No registration required","La registrazione non è richiesta"
"Notification E-Mail Address","Notifica Indirizzo E-Mail"
"notificationemail-comment","E-Mail utilizzata da Hipay per invitare notifiche sul funzionamento."
"OPERATION","OPERAZIONE"
"Optional Settings","Impostazioni Opzionali"
"Order","Ordine"
"Order Category","Categoria Ordine"
"ordercategory-comment","Scegliete la categoria.<br /><span class=""notice"">Una lista di tutte le vostre categorie (basata su una selezione <span style=""font-style: italic;"">di linee di business</span>e <span style=""font-style: italic;"">la categoria</span> del vostro sito su Hipay).<br />1. Inserite il vostro <span style=""font-style: italic;"">Sito ID</span><br />2. Cliccate su <span style=""font-style: italic;"">Salva Configurazione</span><br />3. La lista <span style=""font-style: italic;""> della Categoria dell'Ordine</span> verrà aggiornata.<br />4. Scegliete la categoria corrispondente e cliccate su <span style=""font-style: italic;"">Salva Configurazione</span> ancora.</span>"
"Over 15 payment types accepted, including local ones","Più di 15 modelli di pagamento accettati, inclusi quelli locali"
"PAID AMOUNT","IMPORTO PAGATO"
"Payment from applicable countries","Pagamenti dai paesi applicabili"
"Payment from specific countries","Pagamenti da paesi specifici"
"Payment has been canceled by customer","Il pagamento è stato annullato dal cliente"
"Please enter 'Merchant Site Id' first and save config!","Per cortesia inserire prima 'Id sito commerciante' e salvare la configurazione!"
"Secure","Sicuro"
"Secure online payment solution","Soluzione sicure di pagamento online"
"Shipping Account","Conto spedizioni"
"shippingaccountid-comment","ID del (sub) conto che verrà accreditato del costo delle spese di spedizione.<br /><span class=""notice"">Se questo campo non viene compilato, il <span style=""font-style: italic;"">conto commerciante Hipay</span> sarà utilizzato.</span>"
"Shopping cart","Carrello"
"Sort order","Ordinamento"
"STATUS","STATUS"
"Swedish Crone","Corone Svedesi"
"Test","Test"
"The customer has successfully paid via Hipay","Il cliente ha pagato con successo tramite HiPay"
"The customer was redirected to Hipay","Il cliente è stato trasferito a Hipay"
"This is what you can expect when you pay with hipay:","Questo è quello che potete aspettarvi quando pagate con hipay:"
"TRANSACTION ID","NUMERO TRANSAZIONE"
"US Dollar","Dollari Americani"
"You will be redirected to Hipay ...","Sarete traferiti a Hipay..."
"You will be redirected to our secure payment page when you complete your order.","Sarete indirizzati alla nostra pagina di pagamento sicura quando avrete completato l'ordine."
"Your order has been canceled because the payment process failed.","Il vostro ordine è stato cancellato perché il processo di pagamento è fallito."
"Your order has been canceled because you have canceled the payment process.","Il vostro ordine è stato cancellato perché avete annullato il processo di pagamento."
"text_1","A solution available without VAD's contracts"
"text_2","Free installation and no subscription fee"
"text_3","An integrated anti-fraud unit for more safety"
"text_4","Customizable payment pages with responsive design"
"text_5","More than 15 local and international payment solutions"
